Id,Note,Name,Name_en,Name_ja,第 1 列,Description1,Description1_zh-Hant,Description1_en,Description1_ja,Description2,Description2_zh-Hant,Description2_en,Description2_ja,Level
10033,,熔火圣骸,Molten Sacred Machine,溶融聖械,TRUE,<title>强制焚毁</title><main>能够焚毁魔女的行动牌</main>,<title>強制燃燼</title><main>能夠燃燼魔女的行動牌</main>,<title>Forced Incineration</title><main>Action cards that can incinerate witches</main>,<title>強制焚焼</title><main>魔女のアクションカードを燃やすことができる</main>,,,,,2
10034,,自动机关人偶,Automaton Puppet,自動人形,TRUE,<title>骰子</title><main>意图带有随机检定</main>,<title>骰子</title><main>意圖帶有隨機檢定</main>,<title>Dice</title><main>Intended for random checks</main>,<title>サイコロ</title><main>意図にランダム判定を伴う</main>,,,,,3
10035,,K,Old Ace,エース,TRUE,<title>意念侵蚀</title><main>给予魔女诅咒牌</main>,<title>意念侵蝕</title><main>給予魔女詛咒牌</main>,<title>Mind Erosion</title><main>Give the witch a curse card</main>,<title>意念侵食</title><main>魔女に呪いのカードを与える</main>,,,,,3
10036,,鬼牌:小王,Joker: Black,ジョーカー：黒,TRUE,<title>连体同心</title><main>连体的敌人死亡时，强化另一方</main>,<title>連體同心</title><main>連體的敵人死亡時，強化另一方</main>,"<title>Conjoined Hearts</title><main>When one conjoined enemy dies, the other is strengthened</main>",<title>心をひとつに宿す</title><main>連体の敵が死亡すると、もう一方が強化される</main>,,,,,3
10037,,鬼牌:小王,Joker: Red,ジョーカー：赤,TRUE,<title>连体同心</title><main>连体的敌人死亡时，强化另一方</main>,<title>連體同心</title><main>連體的敵人死亡時，強化另一方</main>,"<title>Conjoined Hearts</title><main>When one conjoined enemy dies, the other is strengthened</main>",<title>心をひとつに宿す</title><main>連体の敵が死亡すると、もう一方が強化される</main>,,,,,1
10038,,灾厄祭司,Calamity Priest,災厄の司祭,TRUE,<title>巫术</title><main>魔女多次打出行动牌时会被重置手牌</main>,<title>巫術</title><main>魔女多次打出行動牌時會被重置手牌</main>,"<title>Witchcraft</title><main>When the witch plays multiple action cards, her hand will be reset</main>",<title>魔術</title><main>魔女が複数回行動カードを使用すると、手札がリセットされます</main>,,,,,2
10039,,黑桃骑士,Spade Knight,スペードの騎士,TRUE,<title>血流成河</title><main>使用能触发流血的攻击手段</main>,<title>血流成河</title><main>使用會造成流血的攻擊手段</main>,<title>Rivers of Blood</title><main>Uses attacks that cause bleeding</main>,<title>血の川</title><main>出血を引き起こす攻撃を使用する</main>,,,,,2
10040,,魔女教教徒,Omniscient Sage,魔女教の教徒,TRUE,<title>教徒百宝箱</title><main>随机给自己抽取状态</main>,<title>教徒百寶箱</title><main>隨機給自己抽取狀態</main>,<title>Cultist's Chest</title><main>Randomly draws a status for itself</main>,<title>信者の宝箱</title><main>ランダムで自身に状態を付与する</main>,,,,,2
10041,,天眷者,Heaven's Chosen,天眷者,TRUE,<title>伪 天界加护</title><main>随着战斗会不断提高生命恢复</main>,<title>偽 天界加护</title><main>隨著戰鬥會不斷提高生命恢復</main>,<title>Pseudo Celestial Blessing</title><main>Health recovery will continuously increase as the battle progresses</main>,<title>偽 天界の加護</title><main>戦闘が進むにつれて、生命回復が絶えず向上する</main>,,,,,2
10042,,吞金兽,Fortune Bearer,金を呑む獣,TRUE,<title>小金库</title><main>被打就爆金币</main>,<title>小金庫</title><main>被打會爆出金幣</main>,<title>Mini Vault</title><main>Drops coins when hit</main>,<title>小金庫</title><main>攻撃されるとコインを落とす</main>,,,,,2
10043,,活性晶簇,Active crystal clusters,活性晶簇,TRUE,<title>储能库</title><main>被打爆魔能或行动牌</main>,<title>儲能庫</title><main>被打會爆出魔能或行動牌</main>,"<title>Energy Storage</title><main>When destroyed, releases mana or action cards</main>",<title>蓄電庫</title><main>壊されると魔力や行動カードを放出する</main>,,,,,2
10044,,操偶师,Puppet Master,人形遣い,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,0
10045,,巨大玩偶熊,Giant Doll Bear,巨大なぬいぐるみ熊,FALSE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,0
10046,,恐惧残片,Fragment of Fear,恐怖の破片,FALSE,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Tactical Squad</title><main>A combination of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,0
10047,,怠惰残片,Fragment of Sloth,怠惰の破片,FALSE,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Tactical Squad</title><main>A combination of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,0
10048,,魔王,Demon King,魔王,FALSE,,,,,,,,,
10049,,魔王剑,Demon King,魔王の剣,FALSE,,,,,,,,,
10050,,魔王剑,Demon King,魔王の剣,FALSE,,,,,,,,,
*10051,,魔王,Demon King,魔王,FALSE,,,,,,,,,
*10052,,魔王,Demon King,魔王,FALSE,,,,,,,,,
*10053,,永夜化身,Avatar of Eternal Night,常闇の化身,FALSE,,,,,,,,,
