Id,Weight,OwnScript,FightScript,Icon,Type,Source,Rarity
*102,2,,"if (PlayerInfo.Lucky<10)
        {
            return;
        }AddEvent(""FightStart"",(() => {DrawCount(""1"");}));",Icon/Blessing/占卜词句,正面,技能,3
*103,2,,"if (PlayerInfo.Wisdom<10)
        {
            return;
        }AddEvent(""FightStart"",(() => {SetStatus(""Self"");ChangePower(""1"");}));",Icon/Blessing/思考者,正面,技能,3
*104,2,,"if (PlayerInfo.Perceive<10)
        {
            return;
        }AddEvent(""FightStart"",(() => {SetStatus(""Self"");ChangeDefence(""6"");}));",Icon/Blessing/纽带村落,正面,技能,3
*105,3,,"if (PlayerInfo.Strength<20)
        {
            return;
        }AddEvent(""FightStart"",() => {SetStatus(""Self"");AddBuff(DataId.buff_keenedge,""3"");});",Icon/Blessing/恐惧之眼,正面,技能,3
*106,3,,"if (PlayerInfo.Lucky<20)
        {
            return;
        }AddEvent(""FightStart"",()=>{PlayerInfo.Money+=45;});",Icon/Blessing/交易辞令,正面,技能,3
*107,3,,"if (PlayerInfo.Wisdom<20)
        {
            return;
        }AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(DataId.buff_epiphany,""1"");}));",Icon/Blessing/探究者,正面,技能,3
*108,3,,"if (PlayerInfo.Perceive<20)
        {
            return;
        }AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(DataId.buff_impregnable,""2"");}));",Icon/Blessing/统合城邦,正面,技能,3
*109,4,,"if (PlayerInfo.Strength<30)
        {
            return;
        }AddEvent(""Action"",() => {
SetStatus(""AllRandomTarget1"");Damage(""6"");
 });",Icon/Blessing/癫狂之手,正面,技能,3
*110,4,,"if (PlayerInfo.Lucky<30)
        {
            return;
        }AddEvent(""FightStart"",() => PlayerInfo.Reward+=1);",Icon/Blessing/统治手谕,正面,技能,3
*111,4,,"if (PlayerInfo.Wisdom<30)
        {
            return;
        }AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(DataId.buff_oniblood,""1"");}));",Icon/Blessing/先知者,正面,技能,3
*112,4,,"if (PlayerInfo.Perceive<30)
        {
            return;
        }AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(DataId.buff_sourcecast,""1"");}));",Icon/Blessing/守望国度,正面,技能,3
*113,5,,"if (PlayerInfo.Strength<40)
        {
            return;
        }SetStatus(""Self"");AddEvent(""FightStart"",() => {
            AddBuff(DataId.buff_extraordinary,""500"");});",Icon/Blessing/虚无之心,正面,技能,3
*114,5,,"if (PlayerInfo.Lucky<40)
        {
            return;
        }AddEvent(""OnDiceValue"", () =>
        {
                ValueDice.OnRoll += result => {
            result.CopyTo(new(result.Value+10,result.Bonus));
            };
        });
AddEvent(""OnDiceCheck"", () =>
        {

                CheckDice.OnRoll += result => {
 result.CopyTo(new( (result.Value-10),result.Bonus));
            };
        });",Icon/Blessing/规训律法,正面,技能,3
*115,5,,"if (PlayerInfo.Wisdom<40)
        {
            return;
        }AddEvent(""FightStart"",() => {SetStatus(""Self"");AddBuff(DataId.buff_contagion,""2"");AddBuff(DataId.buff_cycle,""2"");
        SetStatus(""AllTarget"");AddBuff(DataId.buff_timestop,""1"");});",Icon/Blessing/觉悟者,正面,技能,3
*116,5,,"if (PlayerInfo.Perceive<40)
        {
            return;
        }AddEvent(""StartRound"",() => {SetStatus(""Self"");foreach (var item in Object)
        {
            if (GetStatus.ContainsKey(item))
            {
                item.CurHp = GetStatus[item][""CurHp""];
                item.MaxHp = GetStatus[item][""MaxHp""];
            }
            else
            {
                GetStatus[item] = new Dictionary<string, int>
                {
                    { ""CurHp"", item.CurHp },
                    { ""MaxHp"", item.MaxHp },
                };
            }
            AddBuff(DataId.buff_impregnable,""1"");
        };});",Icon/Blessing/静滞世界,正面,技能,3
32,7,,"AddEvent(""Action"",() => {

SetStatus(""AllRandomTarget1"");Damage(""3"");
 });",Icon/Blessing/星星,正面,技能,3
33,7,,"AddEvent(""FightStart"",() => {SetStatus(""Self"");AddBuff(DataId.buff_contagion,""2"");});",Icon/Blessing/月亮,正面,技能,3
34,10,,"AddEvent(""FightStart"",() => {SetStatus(""Self"");AddBuff(DataId.buff_chrysalis,""2"");});",Icon/Blessing/太阳,正面,技能,3
*35,6,,"if (PlayerInfo.SpecialVars.ContainsKey(DataId.blessing_35) ||PlayerInfo.enemylevel==4)
        {
            return;
        }
        ChangeDynamicVar(""liveCount"", ""1"");
        AddEvent(""Resurrection"",()=> {
            if (!PlayerInfo.SpecialVars.ContainsKey(DataId.blessing_35))
            {
            
                if (Self.dynamicVariables[""liveCount""]==0f)
                {
                    PlayerInfo.SpecialVars[DataId.blessing_35] = ""1"";
                EscapeFight();
                }
                
            }
        });",Icon/Blessing/太阳,正面,技能,2
*36,5,,"AddEvent(""FightStart"", () => {
            Vars[""ThisCount""] = (int.Parse(Vars.GetValueOrDefault(""ThisCount"", ""0"")) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""]) < 4)
            {
                ChangeMaxHp(""-4"");
            }
            AddEvent(""Escape"", () =>
            {
                if (int.Parse(Vars[""ThisCount""]) >=3)
                {
                    for (int i = 0; i < 3; i++)
                    {
                        PlayerInfo.AddBless(DataId.blessing_6);
                    PlayerInfo.AddBless(DataId.blessing_20);
                    }
                    
                    PlayerInfo.RemoveBless(DataId.blessing_36);
                }
            });
            AddEvent(""Win"",()=> {
                if (int.Parse(Vars[""ThisCount""]) >=3)
                {
                    for (int i = 0; i < 3; i++)
                    {
                        PlayerInfo.AddBless(DataId.blessing_6);
                    PlayerInfo.AddBless(DataId.blessing_20);
                    }
                    
                    PlayerInfo.RemoveBless(DataId.blessing_36);
                }
            });
             }); ",Icon/Blessing/奇美拉之血,正面,技能,2
*37,5,,"if (PlayerInfo.enemylevel==4)
        {
            return;
        }
        ChangeDynamicVar(""liveCount"", ""999"");
        AddEvent(""Dead"",()=> {
            
                if (Self.dynamicVariables[""liveCount""]==1f)
                {
                EscapeFight();
                }
                
        });",Icon/Blessing/入职培训,正面,技能,2
*38,5,,"AddBuff(DataId.SpecialBuff_Crow, ""1"");",Icon/Blessing/随从-乌鸦,正面,技能,2
*39,5,,"if (PlayerInfo.SpecialVars.ContainsKey(""meowCount"")&&PlayerInfo.SpecialVars[""meowCount""]==""1"")
        {
        return;
        }
       AddBuff(DataId.SpecialBuff_meow, ""1"");",Icon/Blessing/随从-黑猫,正面,技能,2
